EP012025,              ALVIN,     23,
20250609, 1200,  , HU, 17.3N, 105.8W,  65,  991,   70,   50,   30,   50,   20,    0,    0,   20,   10,    0,    0,    0,   10,
20250609, 1800,  , HU, 17.9N, 106.5W,  65,  991,   70,   60,   30,   50,   20,   20,    0,   20,   10,    0,    0,    0,   10,
20250610, 0000,  , TS, 18.5N, 107.4W,  60,  993,   70,   60,   30,   50,   20,   20,    0,   20,    0,    0,    0,    0,   10,
20250610, 0600,  , TS, 19.1N, 107.9W,  50,  999,   60,   50,   20,   40,   20,    0,    0,    0,    0,    0,    0,    0,   15,
20250610, 1200,  , TS, 19.7N, 108.2W,  45, 1001,   50,   40,   20,   30,    0,    0,    0,    0,    0,    0,    0,    0,   15,
20250610, 1800,  , TS, 20.6N, 108.1W,  35, 1004,   40,   30,   10,   20,    0,    0,    0,    0,    0,    0,    0,    0,   15,
20250611, 0000,  , LO, 21.0N, 108.0W,  25, 1007,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,   15,
EP032025,              COSME,     25,
20250605, 1200,  , DB,  9.6N, 103.5W,  15, -999,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20250605, 1800,  , DB,  9.6N, 103.8W,  15, -999,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20250606, 0000,  , DB,  9.7N, 104.2W,  15, -999,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20250606, 0600,  , DB,  9.8N, 104.6W,  15, -999,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20250606, 1200,  , DB, 10.0N, 105.0W,  20, 1007,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,   50,
20250606, 1800,  , DB, 10.1N, 105.7W,  20, 1007,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,   90,
20250607, 0000,  , DB, 10.1N, 106.8W,  20, 1007,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,   90,
20250607, 0600,  , DB, 10.1N, 107.8W,  25, 1007,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,   90,
20250607, 1200,  , DB, 10.3N, 108.5W,  25, 1007,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,   90,
20250607, 1800,  , LO, 10.9N, 108.8W,  25, 1007,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,   90,
20250608, 0000,  , LO, 11.5N, 109.2W,  25, 1006,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,   90,
20250608, 0600,  , LO, 11.8N, 109.8W,  30, 1006,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,   50,
20250608, 1200,  , TD, 12.3N, 110.4W,  30, 1001,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,   40,
20250608, 1800,  , TS, 13.0N, 110.8W,  40,  999,   40,   30,    0,   40,    0,    0,    0,    0,    0,    0,    0,    0,   40,
20250609, 0000,  , TS, 13.5N, 111.5W,  40,  999,   40,   30,    0,   40,    0,    0,    0,    0,    0,    0,    0,    0,   40,
20250609, 0600,  , TS, 14.0N, 112.3W,  45,  999,   40,   30,   30,   40,    0,    0,    0,    0,    0,    0,    0,    0,   25,
